sensor_id,date,datetime_utc,datetime_local,value_avg,units,min,max,q25,median,q75,std,expected_count,observed_count,percent_complete,location_id,location_name,latitude,longitude,aqi,aqi_after_12h,actual_lag_hours,hour,day_of_week,month,year
8534,2017-03-27,2017-03-27 06:00:00+00:00,2017-03-27 06:00:00+00:00,4.75,µg/m³,4.75,4.75,4.75,4.75,4.75,,1,one,100.0,2679.0,SAINT ETIENNE SUD,-999.0,727.0,20.0,30.0,12.0,6,0,3,2017
8534,2017-03-27,2017-03-27 07:00:00+00:00,2017-03-27 07:00:00+00:00,5.5,unknown,5.5,5.5,,5.5,5.5,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,-999.0,4.395422000345383,23.0,23.0,12.0,7,0,3,2017
8534,2017-03-27,2017-03-27 08:00:00+00:00,2017-03-27 08:00:00+00:00,9000.0,µg/m³,9.0,9.0,,9.0,0.009000000000000001,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,-999.0,38.0,25.0,12.0,8,0,3,2017
8534,2017-03-27,2017-03-27 09:00:00+00:00,2017-03-27 09:00:00+00:00,,µg/m³,12.5,12.5,,,0.0125,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,52.0,20.0,12.0,9,0,3,2017
8534,2017-03-27,2017-03-27 10:00:00+00:00,2017-03-27 10:00:00+00:00,12.0,unknown,12.0,0.012,12000.0,12.0,12.0,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,999.0,4.395422000345383,50.0,21.0,12.0,10,0,3,2017
8534,2017-03-27,2017-03-27 11:00:00+00:00,2017-03-27 11:00:00+00:00,0.006500000000000001,kg,,0.006500000000000001,6.5,6.5,0.006500000000000001,0.0,un,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,27.0,18.0,12.0,11,0,3,2017
8534,2017-03-27,2017-03-27 12:00:00+00:00,2017-03-27 12:00:00+00:00,7.0,µg/m³,7.0,7.0,,7.0,7.0,0.0,1,1,100.0,,SAINT ETIENNE SUD,999.0,4.395422000345383,29.0,21.0,12.0,12,0,3,2017
8534,2017-03-27,2017-03-27 13:00:00+00:00,2017-03-27 13:00:00+00:00,5.5,µg/m³,0.0055,5.5,0.0055,,5.5,0.0,mot,1,100.0,,SAINT ETIENNE SUD,727.0,4.395422000345383,23.0,12.0,12.0,13,0,3,2017
8534,2017-03-27,2017-03-27 14:00:00+00:00,2017-03-27 14:00:00+00:00,6.5,kg,6.5,6500.0,6.5,6.5,,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,27.0,12.0,12.0,14,0,3,2017
8534,2017-03-27,2017-03-27 15:00:00+00:00,2017-03-27 15:00:00+00:00,6.75,µg/m³,6.75,6.75,0.00675,0.00675,6.75,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,28.0,11.0,12.0,15,0,3,2017
8534,2017-03-27,2017-03-27 16:00:00+00:00,2017-03-27 16:00:00+00:00,,µg/m³,6.5,6.5,6.5,0.006500000000000001,,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,27.0,20.0,12.0,16,0,3,2017
8534,2017-03-27,2017-03-27 17:00:00+00:00,2017-03-27 17:00:00+00:00,6.75,µg/m³,6.75,6.75,6.75,6.75,6.75,,un,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,28.0,14.0,12.0,17,0,3,2017
8534,2017-03-27,2017-03-27 18:00:00+00:00,2017-03-27 18:00:00+00:00,7.25,kg,7.25,7250.0,,,7.25,,1,mot,100.0,2679.0,SAINT ETIENNE SUD,-727.0,4.395422000345383,30.0,18.0,12.0,18,0,3,2017
8534,2017-03-27,2017-03-27 19:00:00+00:00,2017-03-27 19:00:00+00:00,5.5,µg/m³,5.5,5.5,5.5,5.5,5.5,0.0,1,1,100.0,,SAINT ETIENNE SUD,-727.0,4.395422000345383,23.0,26.0,12.0,19,0,3,2017
8534,2017-03-27,2017-03-27 20:00:00+00:00,2017-03-27 20:00:00+00:00,6.0,µg/m³,6.0,6000.0,6.0,6.0,6000.0,0.0,1,one,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,25.0,40.0,12.0,20,0,3,2017
8534,2017-03-27,2017-03-27 21:00:00+00:00,2017-03-27 21:00:00+00:00,4.75,µg/m³,4.75,,,4.75,4.75,,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,20.0,40.0,12.0,21,0,3,2017
8534,2017-03-27,2017-03-27 22:00:00+00:00,2017-03-27 22:00:00+00:00,5.0,µg/m³,5.0,,0.005,5.0,5.0,0.0,1,mot,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,-727.0,21.0,47.0,12.0,22,0,3,2017
8534,2017-03-27,2017-03-27 23:00:00+00:00,2017-03-27 23:00:00+00:00,4.25,µg/m³,4.25,4250.0,4.25,4.25,4.25,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,18.0,45.0,12.0,23,0,3,2017
8534,2017-03-28,2017-03-28 00:00:00+00:00,2017-03-28 00:00:00+00:00,5.0,µg/m³,5.0,5.0,5.0,5.0,5.0,0.0,1,1,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,21.0,18.0,12.0,0,1,3,2017
8534,2017-03-28,2017-03-28 01:00:00+00:00,2017-03-28 01:00:00+00:00,3.0,µg/m³,3000.0,3.0,3.0,3.0,3.0,0.0,one,uno,100.0,2679.0,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,12.0,19.0,12.0,1,1,3,2017
8534,2017-03-28,2017-03-28 02:00:00+00:00,2017-03-28 02:00:00+00:00,3.0,µg/m³,3.0,3.0,3.0,3.0,3.0,0.0,un,un,100.0,,SAINT ETIENNE SUD,45.420089999725384,4.395422000345383,12.0,16.0,12.0,2,1,3,2017
