sensor_id,date,datetime_utc,datetime_local,value_avg,parameter,units,min,max,q25,median,q75,std,expected_count,observed_count,percent_complete,location_id,location_name,latitude,longitude,aqi,aqi_after_12h,actual_lag_hours,hour,day_of_week,month,year
1290017,2021-08-08,2021-08-08 12:00:00+00:00,2021-08-08 12:00:00+00:00,3.0,pm25,µg/m³,3.0,3.0,3.0,3.0,3.0,,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,12.0,10.0,12.0,12,6,8,2021
1290017,2021-08-08,2021-08-08 13:00:00+00:00,2021-08-08 13:00:00+00:00,,pm25,µg/m³,1.8,1.8,,1.8,,,one,1,100.0,3484.0,PEILLON,-727.0,7.373282999688281,8.0,8.0,12.0,13,6,8,2021
1290017,2021-08-08,2021-08-08 14:00:00+00:00,2021-08-08 14:00:00+00:00,,pm25,unknown,1.5,1.5,0.0015,1.5,1500.0,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,999.0,6.0,8.0,12.0,14,6,8,2021
1290017,2021-08-08,2021-08-08 15:00:00+00:00,2021-08-08 15:00:00+00:00,1.5,pm25,µg/m³,1.5,,1.5,1.5,,0.0,1,un,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,6.0,10.0,12.0,15,6,8,2021
1290017,2021-08-08,2021-08-08 16:00:00+00:00,2021-08-08 16:00:00+00:00,1.6,pm25,kg,1.6,1.6,1.6,1.6,,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,7.0,12.0,12.0,16,6,8,2021
1290017,2021-08-08,2021-08-08 17:00:00+00:00,2021-08-08 17:00:00+00:00,0.0016,pm25,µg/m³,,1.6,1.6,1600.0,,0.0,1,1,100.0,3484.0,PEILLON,999.0,7.373282999688281,7.0,14.0,12.0,17,6,8,2021
1290017,2021-08-08,2021-08-08 18:00:00+00:00,2021-08-08 18:00:00+00:00,0.0023,pm25,µg/m³,2.3,2.3,2300.0,2.3,2.3,,1,1,100.0,3484.0,PEILLON,43.786582999679794,999.0,10.0,23.0,12.0,18,6,8,2021
1290017,2021-08-08,2021-08-08 19:00:00+00:00,2021-08-08 19:00:00+00:00,3.3,pm25,unknown,3300.0,3.3,3.3,3.3,,0.0,1,1,100.0,,PEILLON,43.786582999679794,7.373282999688281,14.0,23.0,12.0,19,6,8,2021
1290017,2021-08-09,2021-08-09 07:00:00+00:00,2021-08-09 07:00:00+00:00,5.4,pm25,µg/m³,,5.4,5.4,5.4,,0.0,1,1,100.0,,PEILLON,-727.0,727.0,23.0,21.0,14.0,7,0,8,2021
1290017,2021-08-15,2021-08-15 06:00:00+00:00,2021-08-15 06:00:00+00:00,,pm25,µg/m³,15000.0,15.0,,,15.0,0.0,mot,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,57.0,70.0,12.0,6,6,8,2021
1290017,2021-08-15,2021-08-15 07:00:00+00:00,2021-08-15 07:00:00+00:00,16.0,pm25,µg/m³,16.0,16.0,16.0,,16.0,0.0,mot,1,100.0,3484.0,PEILLON,43.786582999679794,-999.0,59.0,57.0,12.0,7,6,8,2021
1290017,2021-08-15,2021-08-15 08:00:00+00:00,2021-08-15 08:00:00+00:00,17.1,pm25,µg/m³,,,17.1,17.1,17.1,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,62.0,54.0,12.0,8,6,8,2021
1290017,2021-08-15,2021-08-15 09:00:00+00:00,2021-08-15 09:00:00+00:00,,pm25,µg/m³,17.2,17.2,,17.2,17.2,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,62.0,55.0,12.0,9,6,8,2021
1290017,2021-08-15,2021-08-15 10:00:00+00:00,2021-08-15 10:00:00+00:00,18.1,pm25,kg,18.1,,,18.1,18.1,0.0,1,1,100.0,3484.0,PEILLON,999.0,7.373282999688281,64.0,57.0,12.0,10,6,8,2021
1290017,2021-08-15,2021-08-15 11:00:00+00:00,2021-08-15 11:00:00+00:00,18.2,pm25,kg,18.2,18200.0,18200.0,18.2,,0.0,1,1,100.0,,PEILLON,43.786582999679794,7.373282999688281,64.0,60.0,12.0,11,6,8,2021
1290017,2021-08-15,2021-08-15 12:00:00+00:00,2021-08-15 12:00:00+00:00,,pm25,unknown,17.9,17.9,17.9,,17.9,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,63.0,60.0,12.0,12,6,8,2021
1290017,2021-08-15,2021-08-15 13:00:00+00:00,2021-08-15 13:00:00+00:00,18.6,pm25,µg/m³,18.6,18.6,18.6,0.018600000000000002,18.6,0.0,1,1,100.0,,PEILLON,43.786582999679794,7.373282999688281,65.0,59.0,12.0,13,6,8,2021
1290017,2021-08-15,2021-08-15 14:00:00+00:00,2021-08-15 14:00:00+00:00,19.8,pm25,µg/m³,19.8,19.8,19.8,19.8,19.8,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,67.0,62.0,12.0,14,6,8,2021
1290017,2021-08-15,2021-08-15 15:00:00+00:00,2021-08-15 15:00:00+00:00,23700.0,pm25,µg/m³,,0.0237,23.7,,23700.0,,1,1,100.0,,PEILLON,43.786582999679794,7.373282999688281,75.0,63.0,12.0,15,6,8,2021
1290017,2021-08-15,2021-08-15 16:00:00+00:00,2021-08-15 16:00:00+00:00,28.5,pm25,µg/m³,0.0285,28.5,28.5,28.5,0.0285,0.0,uno,1,100.0,3484.0,PEILLON,999.0,7.373282999688281,85.0,59.0,12.0,16,6,8,2021
1290017,2021-08-15,2021-08-15 17:00:00+00:00,2021-08-15 17:00:00+00:00,28.6,pm25,µg/m³,0.0286,28.6,28600.0,28.6,28.6,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,86.0,59.0,12.0,17,6,8,2021
1290017,2021-08-15,2021-08-15 18:00:00+00:00,2021-08-15 18:00:00+00:00,21.2,pm25,µg/m³,21.2,21.2,21.2,21.2,0.0212,,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,70.0,60.0,12.0,18,6,8,2021
1290017,2021-08-22,2021-08-22 10:00:00+00:00,2021-08-22 10:00:00+00:00,,pm25,µg/m³,,,,9.3,9.3,0.0,1,mot,100.0,3484.0,PEILLON,43.786582999679794,999.0,39.0,66.0,12.0,10,6,8,2021
1290017,2021-08-22,2021-08-22 11:00:00+00:00,2021-08-22 11:00:00+00:00,9.3,pm25,µg/m³,9300.0,9.3,9.3,9.3,9.3,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,-999.0,39.0,62.0,12.0,11,6,8,2021
1290017,2021-08-22,2021-08-22 12:00:00+00:00,2021-08-22 12:00:00+00:00,,pm25,µg/m³,9.7,,9.7,9700.0,9.7,0.0,1,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,40.0,56.0,12.0,12,6,8,2021
1290017,2021-08-22,2021-08-22 13:00:00+00:00,2021-08-22 13:00:00+00:00,10.2,pm25,kg,,0.010199999999999999,10.2,10.2,10.2,0.0,uno,1,100.0,3484.0,PEILLON,43.786582999679794,7.373282999688281,42.0,56.0,12.0,13,6,8,2021
1290017,2021-08-22,2021-08-22 14:00:00+00:00,2021-08-22 14:00:00+00:00,10.4,pm25,µg/m³,10.4,,10.4,10.4,10.4,,1,1,100.0,3484.0,PEILLON,43.786582999679794,727.0,43.0,56.0,12.0,14,6,8,2021
